id,name
770,avant-garde symphonic black metal
771,atmospheric metal
772,technical thrash metal with jazz
773,melodic progressive power metal
774,symphonic folk metal
775,neoclassical metal
776,hard rock with thrash and groove influences
777,depressive melodic black metal
778,experimental groove metal
779,melodic black metal with doom influences
780,progressive pagan black metal
781,heavy metal with death
782,metal with folk influences
783,melodic folk metal
784,heavy groove
785,heavy metal with doom influences
786,operatic avant-garde metal
787,melodic symphonic metal
788,symphonic progressive power metal
789,power metal with industrial influences
790,doom metal influences
791,symphonic pagan metal
792,folk viking metal
793,technical death metal with hardcore influences
794,doom metal with crossover influences
795,medieval black metal
796,death metal with gothic influences
797,gothic metal with thrash influences
798,psychedelic avant-garde metal
799,speed metal influences
800,black metal with hardcore influences
801,stoner metal with punk influences
802,thrash metal with rac influences
803,pop punk
804,metalcore with thrash metal elements
805,progressive symphonic metal
806,melodic thrash metal
807,industrial post-black metal
808,acoustic folk
809,electronic ambient
810,melodic progressive thrash metal
811,technical metalcore
812,gothic metal with punk influences
813,atmospheric rock
814,progressive with rock and metal elements
815,speed ​​metal
816,symphonic progressive heavy metal
817,psychedelic black metal
818,atmospheric blackened death metal
819,stoner metal with hardcore elements
820,punk with thrash metal influences
821,avant-garde folk rock
822,symphonic gothic metal with electronic elements
823,deathcore with djent
824,psychedelic blackened death
825,symphonic thrash metal
826,industrial grindcore
827,raw symphonic black metal
828,psychedelic folk rock
829,melodic progressive death metal
830,progressive metal with melodic death metal influences
831,psychedelic hard rock
832,psychedelic pop
833,viking metal
834,progressive death metal with middle eastern influences
835,blackened sludge metal
836,melodic heavy metal with gothic influences
837,doom metal with folk influences
838,dungeon synth
839,rock with black metal influences
840,power metal with progressive elements
841,blackened experimental metal
842,raw crust
843,depressive doom
844,deathcore with jazz fusion elements
845,experimental symphonic metal
846,hard rock with thrash metal elements
847,progessive black
848,blackened progressive metal
849,extreme groove metal
850,epic melodic death metal
851,rock with funk elements
852,industrial deathcore
853,classical crossover
854,black metal with rac
855,metalcore with grindcore influences
856,thrash metal with rock elements
857,progressive and rock elements
858,death metal with melodic
859,raw black metal with punk influences
860,groove metal with alternative influences
861,rockabilly
862,technical progressive thrash
863,metalcore with death
864,thrash metal with crossover influences
865,stoner metal with death metal elements
866,symphonic blackened death metal
867,progressive death metal with hardcore elements
868,psychedelic stoner metal
869,atmospheric drone
870,progressive post-metal
871,psychedelic progressive gothic
872,black metal with drone
873,epic heavy metal with progressive elements
874,viking black metal
875,stoner metal with various influences
876,glam metal
877,metalcore with thrash metal influences
878,metalcore with folk influences
879,melodic symphonic death metal
880,progressive deathcore
881,technical deathcore
882,melodic death metal with rock and jazz influences
883,thrash metal with stoner
884,neoclassical power metal
885,symphonic metal with electronic music influences
886,melodic hardcore
887,psychedelic drone
888,death metal with grindcore
889,progressive technical deathcore
890,metalcore with sludge metal influences
891,blackened technical death metal
892,progressive metal with middle-eastern folk influences
893,black metal with folk influences
894,folk heavy metal
895,grindcore with classical influences
896,rock with middle eastern influences
897,symphonic raw black metal
898,ska punk
899,death metal with heavy and thrash elements
900,celtic rock
901,symphonic epic gothic
902,power metal with thrash metal elements
903,thrash metal with punk elements
904,atmospheric depressive black metal
905,thrash metal with grunge elements
906,speed metal
907,synthwave
908,black metal with metalcore influences
909,hardcore with thrash metal elements
910,neoclassical progressive metal
911,grindcore with death metal elements
912,blackened doom metal
913,avant-garde post-black metal
914,gospel
915,bluegrass
916,doom metal with power metal influences
917,heavy metal with doom elements
918,black metal with ambient elements
919,extreme heavy metal
920,atmospheric pagan black metal
921,progressive death metal with jazz influences
922,metalcore with electronic elements
923,heavy metal with gothic rock influences
924,thrash metal with stoner influences
925,melodic thrash metal with progressive influences
926,epic viking metal
927,extreme gothic metal
928,technical grindcore
929,thrash metal with death metal
930,shred with rock influences
931,death viking metal
932,death metal with flamenco elements
933,crust punk with doom metal influences
934,thrash metal with folk and gothic influences
935,progressive avant-garde black metal
936,heavy metal with progressive rock influences
937,technical death metal
938,power metal with symphonic
939,roots
940,psychedelic thrash metal
941,brutal death metal with jazz elements
942,epic heavy metal
943,experimental death metal
944,blackened punk
945,symphonic epic black metal
946,death metal with industrial influences
947,avant-garde jazz
948,brutal death metal with doom influences
949,symphonic melodic black
950,stoner metal with punk elements
951,shred with thrash metal elements
952,raw pagan black metal
953,post-punk with various influences
954,progressive stoner metal
955,atmospheric deathcore
956,hard rock with nu-metal influences
957,doom metal with middle eastern influences
958,melodic hard rock
959,black metal with folk and doom metal influences
960,power metal with dark ambient influences
961,black metal with crust
962,avant-garde death metal with jazz influences
963,hard rock with punk influences
964,neoclassical symphonic metal
965,blackened symphonic death metal
966,avant-garde progressive metal
967,melodic experimental black metal
968,grindcore with black metal elements
969,medieval metal
970,death metal with progressive
971,speed metal with hardcore influences
972,drone doom metal
973,symphonic progressive metal
974,psychedelic stoner rock
975,hard rock with thrash influences
976,electronic progressive death
977,epic atmospheric avant-garde metal
978,martial industrial
979,black metal with progressive elements
980,avant-garde heavy metal
981,acoustic rock
982,atmospheric black metal
983,soundtrack with electronic
984,death metal with hardcore elements
985,funeral doom metal
986,technical thrash metal with groove influences
987,chillwave
988,post-metal with folk influences
989,speed metal with oi! influences
990,thrash metal with gothic
991,epic progressive heavy metal
992,classical elements
993,symphonic atmospheric black metal
994,experimental sludge metal
995,progressive brutal death metal
996,progressive metal with dark ambient elements
997,melodic progressive doom
998,blackened goregrind
999,technical progressive metal
1000,death metal with prehispanic folk influences
1001,nu-metal with thrash metal elements
1002,atmospheric gothic rock
1003,viking metal with black metal influences
1004,atmospheric thrash
1005,black metal with ambient influences
1006,melodic death metal with doom influences
1007,doom metal with death metal elements
1008,doom metal
1009,progressive metal with groove influences
1010,progressive death metal
1011,progressive sludge metal with middle eastern influences
1012,folk gothic metal
1013,experimental depressive black metal
1014,ambient black metal
1015,stoner metal with thrash influences
1016,enka
1017,atmospheric progressive metal
1018,black n roll
1019,progressive folk heavy
1020,groove metal with thrash elements
1021,atmospheric symphonic metal
1022,thrash metal with rock n roll influences
1023,power metal with death metal influences
1024,melodic epic heavy metal
1025,psychedelic sludge metal
1026,experimental avant-garde death metal
1027,noise rock influences
1028,death metal with ambient influences
1029,experimental metal
1030,melodic death metal with gothic influences
1031,death metal with rock influences
1032,neoclassical gothic metal
1033,symphonic metal with death metal elements
1034,melodic groove metal
1035,a cappella
1036,film score
1037,medieval gothic rock
1038,experimental extreme metal
1039,avant-garde extreme metal
1040,doom metal with folk elements
1041,melodic shred
1042,experimental progressive rock
1043,progressive death metal with jazz elements
1044,thrash metal with alternative rock influences
1045,melodic progressive metal
1046,technical doom metal
1047,avant-garde drone
1048,thrash metal with metalcore influences
1049,neoclassical darkwave
1050,martial dark ambient
1051,power metal with electronic
1052,symphonic heavy metal
1053,progressive melodic power metal
1054,doom metal with thrash influences
1055,electronic death metal
1056,grindcore with thrash metal influences
1057,dubstep
1058,technical death metal with grindcore elements
1059,brutal death metal with grindcore influences
1060,stoner metal
1061,heavy metal with punk elements
1062,free jazz
1063,death metal with folk influences
1064,melodic black metal with folk influences
1065,epic folk metal
1066,melodic heavy metal with schlager influences
1067,technical sludge metal
1068,brutal death metal
1069,thrash metal with hardcore and doom
1070,atmospheric symphonic death metal
1071,crust n roll
1072,death metal with southern rock influences
1073,groove metal with funk influences
1074,experimental doom metal
1075,folk black metal
1076,space rock
1077,technical slam
1078,brutal death metal with industrial influences
1079,doom metal with industrial influences
1080,groove metal with power metal influences
1081,crossover with heavy metal influences
1082,death metal with various influences
1083,avant-garde blackened death metal
1084,depressive black n roll
1085,black metal with post-metal
1086,electronic black metal
1087,heavy metal with melodic death influences
1088,groove metal
1089,fusion
1090,electronic progressive metal
1091,folk metal
1092,symphonic industrial black
1093,gothic metal with death
1094,experimental progressive death metal
1095,melodic brutal death metal
1096,stoner metal with psychobilly influences
1097,blackened viking
1098,experimental metalcore
1099,thrash metal with death metal elements
1100,technical death metal with jazz influences
1101,thrash metal with alternative influences
1102,epic black metal
1103,death industrial
1104,progressive metal
1105,groove metal with funk elements
1106,symphonic metal with avant-garde influences
1107,rock with jazz elements
1108,groove metal with various influences
1109,alternative rock with industrial elements
1110,cowpunk
1111,symphonic death metal with electronic influences
1112,experimental drone doom
1113,gothic death metal
1114,doom metal with thrash metal influences
1115,epic folk black
1116,operatic progressive
1117,depressive black metal
1118,progressive post-rock
1119,industrial groove metal
1120,metalcore with crossover
1121,funeral death
1122,operatic symphonic metal
1123,industrial hard rock
1124,speed metal with folk influences
1125,thrash metal with hardcore influences
1126,progressive thrash metal with punk elements
1127,hardcore with middle eastern influences
1128,black metal with thrash influences
1129,atmospheric gothic metal
1130,synth punk
